duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 7m 55sec.,475.0,2012-01-01 00:04:00,7th & R St NW / Shaw Library,31245.0,2012-01-01 00:11:00,7th & T St NW,31109.0,W01412,Registered,1
0h 19m 22sec.,1162.0,2012-01-01 00:10:00,Georgia & New Hampshire Ave NW,31400.0,2012-01-01 00:29:00,16th & Harvard St NW,31103.0,W00524,Casual,2
0h 19m 5sec.,1145.0,2012-01-01 00:10:00,Georgia & New Hampshire Ave NW,31400.0,2012-01-01 00:29:00,16th & Harvard St NW,31103.0,W00235,Registered,3
0h 8m 5sec.,485.0,2012-01-01 00:15:00,14th & V St NW,31101.0,2012-01-01 00:23:00,Park Rd & Holmead Pl NW,31602.0,W00864,Registered,4
0h 7m 51sec.,471.0,2012-01-01 00:15:00,11th & Kenyon St NW,31102.0,2012-01-01 00:23:00,7th & T St NW,31109.0,W00995,Registered,5
0h 5m 58sec.,358.0,2012-01-01 00:17:00,Court House Metro / Wilson Blvd & N Uhle St,31017.0,2012-01-01 00:23:00,Lynn & 19th St North,31014.0,W00466,Registered,6
0h 29m 14sec.,1754.0,2012-01-01 00:18:00,37th & O St NW / Georgetown University,31236.0,2012-01-01 00:47:00,9th & Upshur St NW,31404.0,W00525,Registered,7
0h 4m 19sec.,259.0,2012-01-01 00:22:00,14th & V St NW,31101.0,2012-01-01 00:27:00,15th & P St NW,31201.0,W00340,Registered,8
0h 8m 36sec.,516.0,2012-01-01 00:24:00,Lynn & 19th St North,31014.0,2012-01-01 00:33:00,25th St & Pennsylvania Ave NW,31237.0,W00466,Registered,9
0h 15m 13sec.,913.0,2012-01-01 00:25:00,14th & V St NW,31101.0,2012-01-01 00:40:00,L'Enfant Plaza / 7th & C St SW,31218.0,W00963,Registered,10
0h 18m 17sec.,1097.0,2012-01-01 00:29:00,Tenleytown / Wisconsin Ave & Albemarle St NW,31303.0,2012-01-01 00:48:00,Massachusetts Ave & Dupont Circle NW,31200.0,W01398,Registered,11
0h 8m 10sec.,490.0,2012-01-01 00:30:00,New York Ave & 15th St NW,31222.0,2012-01-01 00:38:00,21st & I St NW,31205.0,W00042,Registered,12
0h 17m 25sec.,1045.0,2012-01-01 00:32:00,Metro Center / 12th & G St NW,31230.0,2012-01-01 00:50:00,Massachusetts Ave & Dupont Circle NW,31200.0,W00570,Registered,13
0h 17m 15sec.,1035.0,2012-01-01 00:32:00,Lamont & Mt Pleasant NW,31107.0,2012-01-01 00:50:00,14th & Rhode Island Ave NW,31203.0,W01463,Registered,14
0h 17m 40sec.,1060.0,2012-01-01 00:33:00,Lamont & Mt Pleasant NW,31107.0,2012-01-01 00:50:00,14th & Rhode Island Ave NW,31203.0,W00535,Registered,15
0h 17m 19sec.,1039.0,2012-01-01 00:33:00,Metro Center / 12th & G St NW,31230.0,2012-01-01 00:50:00,Massachusetts Ave & Dupont Circle NW,31200.0,W00494,Registered,16
0h 7m 23sec.,443.0,2012-01-01 00:33:00,25th St & Pennsylvania Ave NW,31237.0,2012-01-01 00:41:00,New York Ave & 15th St NW,31222.0,W00466,Registered,17
